"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"10:03:26:939","491407011318960","   0.105","  11.317"," 3097"," 2900"," 3100"," 3100","  14.834","   1.551","   0.431","  13.252","   1.385","   0.385"," 95","0"," 91"," 98","   2.048","   0.214","   0.059","  28.000","  500","  500"
"10:03:27:051","491407313992440","   0.217","  16.422"," 3092"," 2900"," 3100"," 3100","  15.408","   3.278","   0.911","  13.583","   2.908","   0.808"," 97","0"," 90"," 97","   2.282","   0.470","   0.131","  28.000","  500","  500"
"10:03:27:152","491407584908280","   0.317","  22.881"," 3079"," 2900"," 3100"," 3100","  15.765","   4.860","   1.350","  14.143","   4.327","   1.202"," 98","0"," 92"," 99","   2.189","   0.690","   0.192","  28.000","  500","  500"
"10:03:27:255","491407862146956","   0.420","  19.330"," 3089"," 2900"," 3100"," 3096","  15.084","   6.409","   1.780","  13.348","   5.698","   1.583"," 95","0"," 90"," 97","   2.180","   0.913","   0.254","  28.000","  500","  500"
"10:03:27:355","491408133656337","   0.520","  23.171"," 3057"," 2700"," 3100"," 3100","  15.473","   7.965","   2.212","  13.553","   7.061","   1.961"," 96","0"," 91"," 98","   2.325","   1.147","   0.319","  28.000","  500","  500"
"10:03:27:457","491408409291408","   0.622","  21.639"," 3085"," 2700"," 3100"," 3100","  14.607","   9.456","   2.627","  12.987","   8.386","   2.330"," 96","0"," 90"," 97","   1.995","   1.351","   0.375","  28.000","  500","  500"
"10:03:27:561","491408688585576","   0.726","  23.597"," 3080"," 2900"," 3100"," 3100","  14.641","  10.970","   3.047","  13.071","   9.739","   2.705"," 97","0"," 90"," 98","   1.994","   1.557","   0.433","  28.000","  500","  500"
"10:03:27:664","491408966942814","   0.829","  25.217"," 3084"," 2900"," 3100"," 3100","  14.687","  12.484","   3.468","  12.982","  11.077","   3.077"," 95","0"," 90"," 97","   2.167","   1.781","   0.495","  28.000","  500","  500"
"10:03:27:764","491409238001916","   0.929","  30.777"," 3067"," 2800"," 3100"," 3100","  15.354","  14.026","   3.896","  13.600","  12.442","   3.456"," 98","0"," 90"," 99","   2.141","   1.995","   0.554","  28.000","  500","  500"
"10:03:27:867","491409516118896","   1.032","  27.189"," 3078"," 2900"," 3100"," 3095","  15.856","  15.659","   4.350","  13.774","  13.861","   3.850"," 96","0"," 91"," 98","   2.245","   2.227","   0.619","  28.000","  500","  500"
"10:03:27:967","491409786946821","   1.133","  27.869"," 3085"," 2800"," 3100"," 3100","  14.906","  17.154","   4.765","  12.936","  15.159","   4.211"," 96","0"," 90"," 98","   1.985","   2.426","   0.674","  28.000","  500","  500"
"10:03:28:068","491410057762632","   1.233","  29.964"," 3040"," 2700"," 3100"," 3097","  15.432","  18.702","   5.195","  13.548","  16.517","   4.588"," 96","0"," 90"," 97","   2.255","   2.652","   0.737","  28.000","  500","  500"

"Total Elapsed Time (sec) = 1.232857"
"Measured RDTSC Frequency (GHz) = 2.700"

"Cumulative Package Energy_0 (Joules) = 18.702148"
"Cumulative Package Energy_0 (mWh) = 5.195041"
"Average Package Power_0 (Watt) = 15.169757"

"Cumulative IA Energy_0 (Joules) = 16.517456"
"Cumulative IA Energy_0 (mWh) = 4.588182"
"Average Package IA_0 (Watt) = 13.397701"

"Cumulative DRAM Energy_0 (Joules) = 2.651978"
"Cumulative DRAM Energy_0 (mWh) = 0.736660"
"Average Package DRAM_0 (Watt) = 2.151082"
